English,Arabic,Description
Market capitalization,قيمة السوق - رأسمال السوق,إجمالي قيمة الأوراق المالية المصدرة من شركة ما مقومة بالأسعار السائدة في السوق. ويجب أن يتضمن هذا الرقم كافة الأنواع المختلفة للأوراق المالية المصدرة من الشركة، ولكنه عادة ما تقيم الأسهم وفقا للقيمة السوقية فقط. وتحسب القيمة السوقية للشركة من خلال ضرب سعر السهم فى السوق فى عدد الأسهم المصدرة من الشركة. أما قيمة السوق الكلية فهى مجموع القيم السوقية لاجمالى عدد الشركات المدرجة بالسوق
Market Consistent Valuation,التقييم المتناسق مع السوق,تقييم لموجودات ومطلوبات صندوق مخاطر المشاركين يكون متناسقًا إمّا مع تقييم مخاطرها وقيمتها من قبل المشتركين في السوق (التقييم وفق السوق) أو في غياب التقييم المباشر للسوق، المبادئ والمنهجيات التقييمية ومقاييس المخاطر التي يتوقع المشتركون في السوق استخدامها (التقييم وفق النموذج).
Market counterparty,المشارك في الأسواق، النظير,سواء كان بصفته وكيلاً أو أصيلاً عن نفسه، وكذلك من كان يقوم بنفس النشاط الاستثمارى ، كما أن أعضاء أى سوق يعتبرون من النظراء لممارستهم نفس النشاط.
Market Efficiency,كفاءة السوق,هى قدرة السوق على عكس أثر كافة الأحداث الجوهرية والمعلومات الاقتصادية والبيانات المالية المؤثرة على نشاط الشركات، وبالتالي على أسعار الأوراق المالية
Market index,مؤشر السوق,أرقام تمثل القيم الموزونة للأجزاء المكونة للمؤشر، كمؤشر سوق الأوراق المالية.
Market Indices,مؤشرات السوق,هي مؤشرات تبين صافي التغيرات في أسعار أسهم الشركات المكونة لها عبر الوقت وفقأ لآليات حساب مختلفة، (ومؤشرات سعرية، مؤشرات وزنية)
Market maker,صانع السوق,المتداول المؤسسي سواء كان هيئة أو منظمة ما أو بنك استثماري، حيث يقوم بتحديد سعر الورقة المالية في العقود من خلال المناقصة والعرض، وبالتالي يهيؤون العقد يحيث يصبح قابلاً للتسييل من خلال عملية البيع او الشراء، حسب النظام المتبع في المملكة المتحدة
Market order,أمر شراء فوري,أمر صادر من مستثمر إلى السمسار (الوسيط) لتنفيذ صفقة معينة بأفضل الأسعر الممكنة في حينه.
Market penetration,راجع (Market share ),راجع (Market share )
Market potential,إمكانية السوق,ما يمكن أو ما يتوقع بيعه من جميع أصناف السلعة الواحدة أو مجموعة من السلع أو المنتجات أو الخدمات في سوق معينة.
Market price,سعر السوق,هو سعر الورقة المالية هو سعر الاغلاق الذى يعد آخر سعر بيعت به الورقة المالية أو السند ، وفى حالة عقود المشتقات فهو السعر الجارى للعقد خلال الفترة الزمنية له
Market profile,صورة المستهلك في السوق,عبارة عن تحليل للمستهلكين الحاليين و المستقبليين و بيان أعمارهم و أجناسهم و مستويات دخلهم و صفات أخرى تتعلق بهم.
Market proxy,مؤشر السوق,بصفة عامة هو المؤشر الذى يتضمن معظم الأوراق المالية فى السوق والذى يستخدم أيضا فى قياس أداء المحافظ الاستثمارية فى السوق
Market rate of discount,معدل الخصم السائد في السوق,معدل الخصم السائد في السوق
Market research,دراسة السوق,تجميع المعلومات عن حاجات المستهلك من خلال تقييم تلك الحاجات و التنبؤات الإقتصادية و الدراسات التشجيعية لأغراض تطوير الأفكار المتعلقة بالمنتوج و الإستراتيجيات التسويقية.
Market Risk,مخاطر السوق,مخاطر الخسائر في المراكز الاستثمارية داخل وخارج قائمة المركز المالي الناتجة عن تحركات أسعار السوق، أي التقلبات في قيمة الموجودات القابلة للتداول أو التسويق أو التأجير (بما فيها الصكوك)، وفي محافظ الاستثمار المدرجة خارج قائمة المركز المالي (على سبيل المثال الحسابات الاستثمارية المقيدة).
Market segmentation,قطاعات السوق,يمكن تقسيم سوق السندات إلى قطاعات كل قطاع يضم السندات ذات تواريخ الاستحقاق والمدد المتقاربة وبالتالي يعمل بصفة مستقله كأن هذا القطاع سوقا قائما بذاته ، وكذثك تقسيم سوق الأسهم إلي قطاعات
Market share,حصة في السوق,النسبة المئوية لمبيعات شركة أو منتوج معين إلى إجمالي المبيعات في حقل الصناعة المعني أو إجمالي مبيعات السوق لذلك الصنف. و تدعى كذلك Market penetration.
Market valuation,تقييم السوق,تقييم السوق
market value,القيمة السوقية,قيمة الأصل وفقاً لآليات العرض والطلب
Market value,القيمة السوقية، سعر السوق,السعر الذي يرغب أن يبيع به البائع و يرغب أن يشتري به المشتري في سوق حرة مفتوحة (راجع   Market price )
Market yield,عائد السوق,عائد السوق
Marketable securities,أوراق مالية متداولة,"(1) أسهم شركات مساهمة و سندات حكومية يمكن تحويلها فورا إلى نقد.
(2) استثمارات قصيرة الأجل  في الأوراق المالية لتحويلها إلى نقد عند الحاجة إليه دون التأثير على سير العمليات الجارية، و هي تعتبر أصولا متداولة و جزءا من رأس المال العامل."
