
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Run on,Exécuter sur,Laufen auf,ريونيون
Running,En cours d'exécution,Läuft,ريونيون
Running Solver,,,حل
Runtime,Heure d'exécution,Laufzeit,خطأ في وقت التشغيل
SUM,SUM,SUM,SAR
SUMMARY,RÉSUMÉ,ZUSAMMENFASSUNG,SAR
Search...,Rechercher...,Suchen …,ابحث
See two separators as one,Voir deux séparateurs comme un seul,Zwei Trennzeichen als eines sehen,اعرض صفحتين في كل مرة
Sheet,Feuille,Blatt,صفحة
Special,Spécial,Besonderes,خاص
Step value:,Valeur d'incrément :,Schrittweite:,قيمةNice:
Summary Statistics,Résumé des statistiques,Statistischer Überblick,إحصائيّات
Sample,Exemple,Vorschau,عينة
Sample DataSource,Exemple de source de données,Beispiel-Datenquelle,نسبة التردد:
Sampling,Échantillonnage,Stichproben,وزن
Sampling (%s),Échantillonnage (%s),Stichproben (%s),حفظ %s
Sampling method:,Méthode d'échantillonnage :,Stichprobenmethode:,طريقة الإستشعار
Sans,,,Sans
Save,Enregistrer,Speichern,حل
Save all,,,احفظ الكل
Save as default formatting,Format par défaut de l'enregistrement,Als Vorgabeformatierung speichern,حمّل التعيينات الإفتراضية
Save as default settings,Enregistrer comme paramètres par défaut,Als Vorgabeeinstellungen speichern,حمّل التعيينات الإفتراضية
Save changes to workbook '%s' before closing?,Enregistrer les changements du classeur « %s » avant de fermer ?,Änderungen am Arbeitsbuch »%s« vor dem Schließen speichern?,"حفظ التعديلات للحساب الشخصي ""%s"" قبل الإغلاق؟"
Save changes to workbook '%s' before logging out?,,,"حفظ التعديلات للحساب الشخصي ""%s"" قبل الإغلاق؟"
Save changes to workbook before closing?,Enregistrer les changements du classeur avant de fermer ?,Änderungen am Arbeitsbuch vor dem Schließen speichern?,"حفظ التعديلات للحساب الشخصي ""%s"" قبل الإغلاق؟"
Save changes to workbook before logging out?,,,"حفظ التعديلات للحساب الشخصي ""%s"" قبل الإغلاق؟"
Save settings as default,Enregistrer comme paramètres par défaut,Aktuelle Einstellungen als Vorgabeeinstellungen speichern,حمّل التعيينات الإفتراضية
Save the current settings as default settings,Enregistrer les paramètres actuels comme paramètres par défaut,Aktuelle Einstellungen als Vorgabeeinstellungen speichern,حمّل التعيينات الإفتراضية
Save the current workbook,Enregistre le classeur actuel,Das aktuelle Arbeitsbuch speichern,إحفظ المشروع الحالي
Save the current workbook with a different name,Enregistre le classeur actuel sous un nouveau nom,Die aktuelle Datei unter einem anderen Namen speichern,احفظ المشروع الحالي الحالي بإسم مغاير
Save?,Enregistrer ?,Speichern?,احفظ الكل
Saving file...,Enregistrement du fichier...,Datei wird gespeichert …,يجري حفظ العنصر...
Scalar,Scalaire,Skalar,طالب علم
Scale,Échelle,Skalieren,عينة
Scale to fit horizontally on,Ajuster pour tenir horizontalement sur,Horizontal einpassen,غشاوة أفقية
Scenarios,Scénarios,Szenarien,حافظات الشاشة
Scenario Manager,Gestionnaire de scénario,Szenarienverwaltung,المدير الأخير
Scenario Summary,Résumé du scénario,Szenarienzusammenfassung,بدون ملخّص
Scenario name already used,Nom de scénario déjà utilisé,Szenarienname wird bereits verwendet,حلقة المفاتيح غير مقفلة مسبقا.
Scenario name:,Nom du scénario :,Szenarienname:,اسم الشاشة:
Scenarios,Scénarios,Szenarien,سينداي
Scientific,Scientifique,Wissenschaftlich,علميّ
Scope,Étendue,Bereich,المجال
Screen,Écran,Bildschirm,شاشة
Screen %d,Écran %d,Bildschirm %d,شاشة
Screen %d [This screen],Écran %d [Cet écran],Bildschirm %d [Dieser Bildschirm],حَجّم لتناسب الشاشة
Screen resolution in the vertical direction.,Résolution de l'écran dans le sens vertical.,Bildschirmauflösung in vertikaler Richtung.,تفضيلات إستبانة الشاشة
Scripting,Scripts,Skriptschnittstellen,مخطوط
Scrollbar,Barre de défilement,Rollbalken,شريط تمرير
Scrollbar Properties,Propriétés de la barre de défilement,Rollleisteneigenschaften,خصائص المجلّد
Sean Atkinson,Sean Atkinson,Sean Atkinson,Stinson
Search,Rechercher,Suchen,ابحث
Search & Replace,Rechercher et remplacer,Suchen und Ersetzen,ابحث و استبدل نص
Search & Replace Changes Comments,,,ابحث و استبدل نص
Search & Replace Changes Expressions,,,عبارة منتظمة
Search & Replace Changes Other Values,,,ابحث في الويب
Search & Replace Changes Strings,,,ابحث و استبدل نص
Search & Replace Column Major,,,ابحث و استبدل نص
Search & Replace Error Behavior,,,ابحث و استبدل نص
Search & Replace Ignores Case,,,ابحث و استبدل نص
Search & Replace Keeps Strings as Strings,,,ابق الإعدادات الحالية
Search & Replace Poses Query,,,ابحث و استبدل نص
Search & Replace Preserves Case,,,ابحث و استبدل نص
Search & Replace Scope,,,ابحث و استبدل نص
Search & Replace Search Type,,,ابحث و استبدل نص
Search & Replace Whole Words Only,,,ابحث و استبدل نص
Search & Replace ignores case as default,,,ابحث و استبدل نص
Search Comments,,,ابحث عن المستندات
Search Expression Results,,,نتائج البحث
Search Expressions,,,عبارة منتظمة
Search Other Values,,,ابحث في الويب
Search Scripts,,,سلسلة البحث
Search Strings,,,سلسلة البحث
Search & Replace...,Rechercher et remplacer...,Suchen und Ersetzen …,ابحث و استبدل نص
Search and Replace,Rechercher et remplacer,Suchen und Ersetzen,ابحث و استبدل نص
Search and Replace Query,Recherche et remplacement interactifs,Abfrage für das Suchen und Ersetzen,ابحث و استبدل نص
Search and replace in current sheet only,Ne rechercher et remplacer que dans la feuille active,Nur im momentan angezeigten Blatt suchen und ersetzen,ابحث و استبدل نص
Search and replace in specified range only,Ne rechercher et remplacer que dans la plage indiquée,Nur im angegebenen Bereich suchen und ersetzen,ابحث عن ملفات بالوسْم المحدد
Search cells containing,Rechercher les cellules contenant,"Zellen durchsuchen, die beinhalten",ابجث عن المفاتيح التي تحتوي:
Search column by column,Rechercher colonne par colonne,Spaltenweise suchen,عمود بحث
Search for something,Recherche un texte,Nach etwas suchen,ابحث عن أغانٍ
Search for something and replace it with something else,Recherche un texte et le remplace par un autre,Nach etwas suchen und durch etwas Anderes ersetzen,ابحث و استبدل نص
Search in current sheet only,Ne rechercher que dans la feuille active,Nur im momentan angezeigten Blatt suchen,استبدل المنتقى الحالي
Search in specified range only,Ne rechercher que dans la plage sélectionnée,Nur im angegebenen Bereich suchen,لا يوجد صورة محددة:
Search line by line,Rechercher ligne par ligne,Zeilenweise suchen,البحث حسب الاسم
Search results of expressions too,Rechercher aussi les résultats des expressions,Auch nach Ergebnissen von Ausdrücken suchen,عبارة منتظمة
Search searches in results,Rechercher recherche dans les résultats,Suche sucht in den Suchergebnissen,نتائج البحث
Search searches in results as default,Rechercher recherche dans les résultats par défaut,Die Suche sucht per Voreinstellung in den Suchergebnissen,نتائج البحث
Search text is,Le texte recherché est,Suchtext,ابحث عن نص
Seasonal damping factor (&#x3B4;):,,,لون الرسم:
Seconds before autosave,,,أصوات للأحداث
See also:,Voir aussi :,Siehe auch:,راجع أيضا:
Select,Sélectionner,Auswahl,تحديد
Select (sorted),Sélectionner (triées),Auswahl (sortiert),القناة المطلوب ترتيبها
Select Directory,Sélectionnez un répertoire,Ordner wählen,اختر دليل
Select None,Tout désélectionner,Auswahl aufheben,لا تنتق شيئاً
Select All,Tout sélectionner,Alles markieren,اختر الكل
Select a file,,,إنتقِ ملفًّا
Select a function to insert:,Choisissez une fonction à insérer :,Wählen Sie die einzufügende Funktion:,انتقِ اسم ملف للحفظ
Select all cells in the spreadsheet,Sélectionne toutes les cellules dans la feuille,Alle Zellen auf dem Arbeitsblatt markieren,احذف كل العناصر في المهملات
Select all documents for saving,Sélectionne tous les documents pour enregistrement,Alle Dokumente zum Speichern auswählen,اختر كل علامات المواقع أو النّصوص
Select all non-empty sheets for export.,Sélectionner toutes les feuilles non vides pour l'exportation.,Alle nicht leeren Blätter zum Exportieren auswählen.,اختر كل علامات المواقع أو النّصوص
Select all the cells are used by the current edit cell,Sélectionne toutes les cellules qui sont utilisées par la cellule d'édition actuelle,"Alle Zellen markieren, die von der momentan Fokussierten verwendet werden",اختر لغة المستند الحالي.
Select all the cells that depend on the current edit cell,Sélectionner toutes les cellules qui dépendent de la cellule active,"Alle Zellen markieren, die von der momentan Fokussierten abhängig sind",إنتقاء جميع الرّسائل غير المنتقاة حاليّاً و تلك الرّسائل فقط
Select an array of cells,Sélectionne un tableau de cellules,Einen Bereich von Zellen markieren,اختر ملفاً شخصياً:
Select an entire column,Sélectionne une colonne entière,Die gesamte Spalte markieren,اختر كامل المستند
Select an entire row,Sélectionne une ligne entière,Die gesamte Zeile markieren,اختر كامل السجلّ
Select the next sheet object,Sélectionne l'objet suivant de la feuille,Nächstes Blattobjekt wählen,اختر كل علامات المواقع أو النّصوص
Select the print area,Sélectionne la zone d'impression,Druckbereich auswählen,تحديد المساحات الشفافة
Semi Circles,Demi cercles,Halbkreise,دوائر
Semibold,Demi-gras,Halbfett,صلب
Semicolon (;),Point virgule (;),Semikolon (;),فاصلة منقوطة
Semicolon (;),Point virgule (;),Semikolon (;),فاصلة منقوطة
Send To...,Envoyer à...,Verschicken an …,أرسل إلى...
Send the current file via email,Envoie le fichier actuel par courriel,Die momentan geöffnete Datei via E-Mail verschicken,افتح المجلد المفتوح حاليا في طرفية
Separators,Séparateurs,Trennzeichen,فاصل
Series,Séries,Datenreihe,الخدمات
Series as:,Suite telle que :,Datenreihe wie:,الخدمات في
Series in:,Suite d'entrée :,Datenreihe in:,الخدمات في
Set Background Color,Définir la couleur d'arrière-plan,Hintergrundfarbe festlegen,إعداد اللون الخلفي
Set Borders,Définir des encadrements,Ränder festlegen,ترتيب الفرز
Set Foreground Color,Définir la couleur du premier plan,Vordergrundfarbe festlegen,اللون الامامي للنص
Set Frame Label,Définir l'étiquette d'un cadre,Rahmen-Bezeichnung setzen,انشيء %s
Set Horizontal Alignment,Définir l'alignement horizontal,Horizontale Ausrichtung festlegen,الترصيف الأفقي
Set Object Name,Définir le nom de l'objet,Objektnamen festlegen,حذف الكائن
Set Object Print Property,Définir la propriété d'impression de l'objet,Druckeigenschaften des Objekts festlegen,خاصيات الجسم
Set Object Properties,Définir les propriétés de l'objet,Objekteigenschaften festlegen,خاصيات الجسم
Set Print Area,Définir la zone d'impression,Druckbereich festlegen,الطابعة المنتقاة
Set Print Area to %s,Définir la zone d'impression à %s,Druckbereich auf »%s« festlegen,يجري تعقّب المسلك إلى %s
Set Text,Définit le texte,Text einstellen,النص البديل
Set Vertical Alignment,Définir l'alignement vertical,Vertikale Ausrichtung festlegen,الترصيف العمودي
Set standard/default row height,Définir la hauteur par défaut de la ligne,Die voreingestellte Zeilenhöhe festlegen,ارتفاع نافِذة الرسائل الإفتراضي
Set the format of the selected cells to include a thousands separator,Définit le format des cellules sélectionnées pour inclure un séparateur des milliers,Dem Format der markierten Zellen das Trennzeichen für Tausender hinzufügen,احفظ مراسَلي المجلد المنتقى كفيكارد
Set the root library directory,Fixe le répertoire de base pour les bibliothèques,Basisordner für die Bibliotheken setzen,اختر دليل
Setting Font Style of %s,Paramétrage du style de police pour %s,Schriftstil wird auf %s gesetzt,تتعيين %s لـ %s
Setting comment of %s,Écriture d'un commentaire pour %s,Ändern des Kommentar von %s,تتعيين %s لـ %s
Setting default height of rows to %.2fpts,Hauteur par défaut des lignes mise à %.2f pts,Vorgabewert der Zeilenhöhe auf %.2f Punkt ändern,تحديد نوع الجسم على %s من %s
Setting default width of columns to %.2fpts,Largeur par défaut des colonnes mise à %.2f pts,Vorgabewert der Spaltenbreite auf %.2f Punkt ändern,اضبط قائمة القيم الإفتراضية لـ %s
Setting height of row %s to %d pixels,,,ضبط %s لـ %s إلى %s
Setting height of row %s to default,Hauteur de la ligne %s : par défaut,Höhe der Zeile %s wird auf die Vorgabe gesetzt,ضبط %s لـ %s إلى %s
