English Term,Arabic Term,Arabic Description
Membership Inference Attack,هجوم استنتاج العضوية,هجوم يهدف إلى تحديد ما إذا كانت عينة بيانات اسُتخدمت في تدريب نموذج تعُّلم الآلة أم ال. .
Metadata,بيانات وصفّية,البيانات التي ُتعِّرف بيانات أخرى أو تصفها. .
Metadata Management,إدارة البيانات الوصفَّية,إدارة البيانات التي تصف البيانات الأخرى لضمان إنشائها وتخزينها وصيانتها بطريقة موحدة. .
Metaheuristic,خوارزمية تحسين إرشادية,إطار خوارزمي عالي المستوى يمكن استخدامه لحل مشكالت التحسين المختلفة. .
Metalearning,تعُّلم عملية التعُّلم,مجال فرعي من تعُّلم الآلة ُيستخدم الكتشاف خوارزمية التعُّلم أو تحسينها عن طريق التعُّلم من كمية صغيرة من البيانات أو الخبرات من المهام السابقة. .     .
Metaprompt,أوامر وصفية,توجيه عالي المستوى أو مجموعة من التعليمات المقدمة للنموذج لتوجيه كيفية توليد المخرجات المطلوبة. وُيطلق عليها أيًضا أوامر النظام أو رسائل النظام.      . .
Metric,مقياس,مقياس لتقييم أداء النموذج أثناء التدريب أو الاختبار. .
Metric for Evaluation of Translation with Explicit,مقياس ميتيور,() مقياس لجودة ترجمة الآلة، عن طريق مقارنة النصوص المولدة بواسطة الآلة بالنصوص المكتوبة بواسطة الإنسان. .
Mini Batch,ُحزمة صغيرة,مجموعة فرعية صغيرة اختيرت عشوائًّيا من ُحزمة أمثلة الستخدامها في عملية التدريب. .
Mini-Batch Stochastic Gradient Descent (SGD),نزول تدرجي عشوائي ب ُحَزم صغيرة,خوارزمية نزول تدرجي تقسم بيانات التدريب إلى ُحَزم صغيرة لتقدير التدرج. .
Minimax Loss,خسارة التقليل-التعظيم,دالة خسارة ُتستخدم في شبكة توليدية تنافسية يحاول فيها الموِّلد تقليل هذه الدالة، في حين يحاول الممّيز تعظيمها.      ()
Minority Class,صنف الأقلية,الصنف الذي لديه أقل عدد من الحالات في مجموعة البيانات. .
Misclassification Rate,معدل خطأ التصنيف,مقياس لتحديد عدد المرات التي تكون فيها تنبؤات النموذج غير صحيحة. .
Miss Rate,معدل الخطأ,انظر معدل سلبي خاطئ. .()
Mixture of Experts )MoE(,خليط من الخبراء,أسلوب في تعُّلم الآلة ُيق ِّسم النموذج إلى شبكات فرعية متعددة تعمل مًعا في مهمة ما، وتتخصص كل منها في مجموعة فرعية معينة من البيانات الُمْدَخلة. .
MNIST,إم نيست,مجموعة بيانات عامة تشتمل على صور ألرقام مكتوبة بخط اليد ُتستخدم لتدريب خوارزميات تعُّلم الآلة الموَّجه واختبارها. .
Mobile Robot,روبوت متنقل,روبوت قادر على التحرك في بيئته، وليس مثبًتا في مكان واحد. .
Modality,صيغة بيانات,فئة عامة للبيانات، مثل: النصوص والصور والأصوات والفيديوهات والأرقام. .
Model,نموذج,تمثيل لما تعلمته خوارزمية تعُّلم الآلة من بيانات التدريب. وُيطلق عليه أيًضا نموذج تعُّلم الآلة.  . .
Model Calibration,معايرة النموذج,عملية تعديل تنبؤات النموذج لتتناسب مع النتائج الفعلية بصورة أفضل، وتحسين الدقة والموثوقية. .
Model Capacity,سعة النموذج,قدرة النموذج على تعُّلم مشكالت معقدة. .
Model Card,بطاقة النموذج,وثيقة موجزة تقدم معلومات أساسية حول نموذج تعُّلم الآلة، بما في ذلك غرضه وأداؤه وقيوده واعتباراته الأخالقية.
Model Checking,فحص النموذج,أسلوب تحقق يحدد مدى مطابقة النموذج لمواصفات معينة. .
Model Collapse,تدهور النموذج,تدهور جودة البيانات التي تولدها نماذج الذكاء الاصطناعي مع مرور الوقت؛ بسبب تدريب النماذج على بيانات أنتجتها نماذج ذكاء اصطناعي. .
Model Parallelism,توازي النموذج,أسلوب ُيستخدم لتسريع التدريب أو الاستنتاج بتقسيم النموذج على أجهزة متعددة. .
Model Temperature,ُمعاِمل حرارة النموذج,ُمعاِمل ضبط للتحكم في العشوائية والإبداع في مخرجات النماذج. .
Model Testing,اختبار النموذج,عملية تقييم أداء نموذج مدرب تدريًبا كام ًال؛ وذلك باستخدام بيانات الاختبار. .
Model Training,تدريب النموذج,انظر تدريب. .
Momentum,زخم,أسلوب تحسين للنزول التدرجي ُيسِّرع عملية التعُّلم، عن طريق إضافة نسبة مئوية من متجه التحديث السابق إلى متجه التحديث الحالي. .
Monte Carlo Tree Search (MCTS),بحث مونت كارلو الشجري,خوارزمية لصنع القرار تبحث عن القرارات المثلى في مجال معين، عن طريق الجمع بين محاكاة مونت كارلو وطريقة البحث الشجري. .
Multi-Agent System (MAS),نظام متعدد الوكالء,نظام يتكون من عدة وكالء يتفاعلون في بيئة مشتركة لتحقيق أهداف محددة. .
Multi-Class Classification,تصنيف متعدد الأصناف,نوع من التصنيف ُيمّيز بين أكثر من صنفين. وُيطلق عليه أيًضا تصنيف متعدد الحدود.    . .
Multi-Class Logistic Regression,انحدار لوجستي متعدد الأصناف,استخدام الانحدار اللوجستي لمشكالت التصنيف ذات الأصناف المتعددة. وُيطلق عليه أيًضا انحدار متعدد الحدود.    . .
Multi-Head Self-Attention,انتباه ذاتي متعدد الرؤوس,آلية انتباه ذاتي ُتشِّغل انتباهات متعددة بالتوازي للتركيز على مواضع مختلفة من تسلسالت البيانات الُمْدَخلة. .
Multi-layer Neural Network,شبكة عصبية متعددة الطبقات,شبكة عصبية تشتمل على أكثر من طبقة من الخلايا العصبية أو الُعَقد الاصطناعية. .
Multi-model Database,قاعدة بيانات متعددة النماذج,قاعدة بيانات مصممة لدعم نماذج بيانات متعددة (مثل: الجداول، والمستندات، والشبكات) ضمن نظام متكامل واحد.     ) .     (
Multi-structured Analytics,تحليالت متعددة الهياكل,عملية تحليل البيانات ذات الأشكال المختلفة، بما في ذلك الصيغ المهيكلة وشبه المهيكلة وغير المهيكلة. .
Multi-Swarm Optimization,تحسين متعدد الأسراب,نوع من تحسين سرب الجسيمات ُيقّدر الحل للمشكالت  () المعقدة باستخدام أسراب متعددة بدًال من سرب واحد. .
Multi-Task Learning,تعُّلم متعدد المهام,أسلوب لتدريب النموذج على مهام متعددة في وقت واحد لتحسين أدائه. .
Multimodal Model,نموذج متعدد الصيغ,نموذج له ُمدخلات أو مخرجات بصيغ متعددة. .
Multimodal Prompt,أمر متعدد الصيغ,نوع من الأوامر يتضمن أنواًعا متعددة من البيانات، مثل النصوص والصور، لتوجيه استجابات النموذج. .
Multinomial Classification,تصنيف متعدد الحدود,انظر تصنيف متعدد الأصناف. .
Multinomial Regression,انحدار متعدد الحدود,انظر انحدار لوجستي متعدد الأصناف. .
Multitask Prompt Tuning (MPT),ضبط الأوامر المتعددة المهام,أسلوب لتكييف نموذج ما لمهام متعددة، عن طريق تعُّلم أمر واحد يمكن نقله إلى المهام المستهدفة. .
