%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
No action,Aucune action,Keine Aktion,لا إجراء
"No batch interpreter specified, using the default '%s'.",,,لم يُحدد أي مفسر سطر أوامر، سيُستخدم المبدئي '%s'.
No brushes available for use with this tool.,Aucune brosse disponible pour être utilisée avec cet outil.,Es sind keine Pinsel für dieses Werkzeug vorhanden.,لا فرش متاحة للاستخدام مع هذه الأداة.
No changes need to be saved,Il n’y a pas de modification à enregistrer,Keine Änderungen zu speichern,لا توجد تغييرات لتُحفظ
No filter selected,Aucun filtre sélectionné,Kein Filter ausgewählt,لم يحدد أي مرشح
No gradient available for use with this tool.,Aucun dégradé disponible pour être utilisé avec cet outil.,Es ist kein Farbverlauf zur Verwendung mit diesem Werkzeug vorhanden.,لا تدرّجات متوفرة للاستخدام مع هذه الأداة.
No guides,Aucun guide,Keine Hilfslinien,لا أدلة
No linear gradients found.,Aucun dégradé linéaire trouvé.,Keine linearen Farbverläufe gefunden.,لا تدرجات خطية.
No longer available,N’est plus disponible,Nicht mehr verfügbar,لم يعد موجودا
No paint dynamics available for use with this tool.,Aucune dynamique de brosse disponible pour être utilisée avec cet outil.,Es sind keine Zeichen-Dynamiken zur Verwendung mit diesem Werkzeug vorhanden.,لا حركيات متوفرة للاستخدام مع هذه الأداة.
No paths found in '%s',Aucun chemin trouvé dans « %s »,Keine Pfade in »%s« gefunden,لا توجد مسارات في '%s'
No paths found in the buffer,Aucun chemin trouvé dans le tampon,Es wurden keine Pfade in der Ablage gefunden,لا توجد مسارات في البراح
No patterns available for this operation.,Aucun motif disponible pour cette opération.,Für diese Operation sind keine Muster vorhanden.,لا تتوفر أنماط لهذه العملية.
No patterns available for use with this tool.,Aucun motif disponible pour être utilisé avec cet outil.,Es sind keine Muster zur Verwendung mit diesem Werkzeug vorhanden.,لا أنماط متوفرة للاستخدام مع هذه الأداة.
No selection,Aucune sélection,Keine Auswahl,لا تحديد
No stroke events selected.,Aucun évènement de tracé sélectionné.,Keine Strichereignisse ausgewählt.,لم يحدد أي مرشح
No thumbnails,Aucune vignette,Keine Vorschau,لا مصغّرات
Noise HSV,Bruit TSV,,ضجيج HSV
Noise Reduction...,Réduction de bruit…,Rauschreduktion …,خفض الضجيج...
Noisify,Créer du bruit,,ضجيج
None,Aucune,Nichts auswählen,لا شيء
Normal,Normal,Normal,عادي
Normal (128x128),Normale (128x128),Normal (128x128),طبيعي (128×128)
Normal (l),Normal (a),Normal (v),عادي
Normal dots,Points normaux,Punkte,نقاط عادية
Normal window,Fenêtre normale,Normales Fenster,نافذة عادية
Not a GIMP brush file.,Ce n’est pas un fichier de brosse GIMP.,Keine GIMP-Pinseldatei.,ليس ملف فرشاة جمب
Not a GIMP gradient file.,Ce n’est pas un fichier de dégradé GIMP.,Keine GIMP-Gradientendatei.,ليس ملف تدرجات جمب
Not a regular file,Le fichier n’est pas un fichier ordinaire,Keine reguläre Datei,ليس ملفا عاديا
Not enough points to fill,Il n’y a pas assez de points à remplir,"Es sind nicht genügend Punkte vorhanden, um diese zu füllen",لا توجد نقاط كافية للملء
Not enough points to stroke,Il n’y a pas assez de points pour le tracé,"Es sind nicht genügend Punkte vorhanden, um diese nachzuziehen",لا توجد نقاط كافية لرسم الخط
Not enough visible paths for a merge. There must be at least two.,Il n’y a pas assez de chemins visibles pour une fusion. Il en faut au moins deux.,"Es sind nicht genügend Pfade als »Sichtbar« markiert, um den Vorgang »Sichtbare Pfade vereinen« auszuführen. Es müssen mindestens zwei Pfade sein.",لا يوجد مسارات مرئية كافية للدمج. لا بد من وجود اثنين على الأقل.
Not undoable,Non annulable,Kann nicht rückgängig gemacht werden,غير قابل للتراجع
Number of threads to use:,Nombre de fils d’exécution à utiliser :,Zahl der zu verwendenden Threads:,عدد المعالجات المستخدمة:
Number of animation frames,Nombre d’images d’animation,Anzahl der animierten Bilder,عدد أُطر التحريك
Number of channels:,Nombre de canaux :,Kanalanzahl:,عدد القنوات:
Number of iterations to perform,Nombre d’itérations à réaliser,Anzahl durchzuführender Wiederholungen,عدد المرّات المطبقة
Number of layers:,Nombre de calques :,Ebenenanzahl:,عدد الطبقات:
Number of lines,Nombre de lignes,Anzahl der Linien,عدد الخطوط
Number of paths:,Nombre de chemins :,Pfadanzahl:,عدد المسارات:
Number of pixels:,Nombre de pixels :,Pixelanzahl:,عدد البكسلات:
Number of points,Nombre de points,Anzahl der Punkte,عدد الخطوط
Offset,Décalage,Versatz,الإزاحة
Offset Channel,Décalage du canal,Kanal verschieben,أزِح القناة
Offset Drawable,Décalage du tracé,Zeichenfläche versetzen,إزاحة عنصر الرسم
Offset Layer,Décalage du calque,Ebene verschieben,أزِح الطبقة
Offset Layer Mask,Décalage du masque de calque,Ebenenmaske verschieben,أزِح قناع الطبقة
Offset X,Décalage X,X-Versatz,الإزاحة
Offset X:,Décalage X :,X-Versatz:,الإزاحة:
Offset Y,Décalage Y,Y-Versatz,الإزاحة
Offset Y:,Décalage Y :,Y-Versatz:,الإزاحة:
Offset unit,Unité de décalage,Einheit für Versatz,الإزاحة
Oilify...,Peinture à l’huile…,Ölgemälde …,تزييت...
Old Overlay,Ancien revêtement,Altes Überlagern,كسو
Old broken Overlay,Ancien revêtement brisé,"Altes, defektes Überlagern",الكسو القديم المعطوب
On-canvas gradient editing,Modification de dégradé directement sur le canevas.,,افتح محرر التدرجات
Only in memory,Seulement en mémoire,Nur im Speicher,فقط في الذاكرة
Only indexed images have a colormap.,Seules les images à couleurs indexées ont une palette.,Nur indizierte Bilder verfügen über eine Farbpalette.,الصور الفهرسة فقط لها مخططات ألوان.
Open as Layers...,Ouvrir en tant que calques…,Als Ebenen öffnen …,افتح كطبقات...
Opacity,Opacité,Deckkraft,العتامة
Opacity of the preview image,Opacité de l’aperçu,Deckkraft des Vorschaubildes,إعتام الصورة المحوّلة
Open,Ouvrir,Öffnen,افتح
Open Image,Ouvrir une image,Bild öffnen,افتح صورة
Open Image as Layers,Ouverture d’une image en tant que calques,Bild als Ebenen öffnen,افتح صورة كطبقات
Open Location,Ouvrir suivant l’emplacement,Speicherort öffnen,افتح مكانا
Open Text File (UTF-8),Ouvrir un fichier texte (UTF-8),Textdatei (UTF-8) öffnen,افتح ملفا نصيا (UTF-8)
Open Location...,Ouvrir suivant l’emplacement…,Adresse öffnen …,افتح مكانا...
Open Recent,Récemment ouverts,Zuletzt geöffnet,افتح الحديث
Open a floating dialog to view details about measurements,Ouvrir une fenêtre temporaire pour visualiser le détail des mesures,Einen Schwebedialog mit Details zur Messung öffnen,افتح نافذة عائمة لعرض تفاصيل القياسات
Open a floating dialog to view picked color values in various color models,"Ouvrir une fenêtre pour visualiser, dans différents modèles de couleurs, les valeurs des couleurs prélevées",Einen schwebenden Dialog zum Anzeigen aufgenommener Farbwerte in verschiedenen Farbmodellen öffnen,افتح حوار عائم لعرض قيم الألوان المنتقاة في أنظمة الألوان المختلفة
Open an image file,Ouvre un fichier image,Eine Bilddatei öffnen,افتح ملف صورة
Open an image file as layers,Ouvre un fichier image en tant que calques,Bilddatei als Ebenen öffnen,افتح ملف صورة كطبقات
Open an image file from a specified location,Ouvre une image depuis l’emplacement indiqué,Bilddatei von einer angegebenen Adresse öffnen,افتح صورة من مكان محدد
Open brush as image,Ouvrir la brosse en tant qu’image,Pinsel als Bild öffnen,افتح الفرشاة كصورة
Open image dialog,Ouvre la boîte de dialogue d’image,Dialog um ein Bild zu öffnen,افتح حوار الصورة
Open images as new,Ouvrir en tant que nouvelles images,Bilder als neu öffnen,افتح الصور كجديدة
Open layers,Ouvrir les calques,Ebenen öffnen,افتح طبقات
Open paint dynamics dialog,Ouvre la boîte de dialogue Dynamique de brosse,Den Zeichendynamik-Dialog öffnen,افتح حوار حركيات الرسم
Open the FG/BG color dialog,Ouvre la boîte de dialogue Couleur PP/AP,Den Dialog für Vorder- und Hintergrundfarbe anzeigen,افتح حوار ألوان الواجهة/الخلفية
Open the GIMP user manual,Ouvrir le manuel de l’utilisateur de GIMP,Das GIMP-Benutzerhandbuch öffnen,افتح دليل مستخدمي جمب
Open the MyPaint brush selection dialog,Ouvrir le sélecteur de brosse MyPaint,Den MyPaint-Pinselauswahldialog öffnen,افتح حوار اختيار الفرشاة
Open the brush editor,Ouvre l’éditeur de brosses,Den Dialog »Pinseleditor« anzeigen,افتح محرر الفُرش
Open the brush selection dialog,Ouvrir le sélecteur de brosse,Den Pinselauswahldialog öffnen,افتح حوار اختيار الفرشاة
Open the brushes dialog,Ouvre la boîte de dialogue Brosses,Den Dialog »Pinsel« anzeigen,افتح حوار الفُرش
Open the channels dialog,Ouvre la boîte de dialogue Canaux,Den Dialog »Kanäle« anzeigen,افتح حوار القنوات
Open the colormap dialog,Ouvre la boîte de dialogue Palette des couleurs indexées,Den Dialog »Farbtabelle« anzeigen,افتح حوار مخطط الألوان
Open the dashboard,Ouvre le tableau de bord,Die Leistungsüberwachung öffnen,افتح لوحة الأدوات
Open the device status dialog,Ouvre la boîte de dialogue État des périphériques,Den Dialog »Gerätestatus« anzeigen,افتح حوار حالة الجهاز
Open the display navigation dialog,Ouvre la boîte de dialogue Naviguer dans l’affichage,Den Dialog »Navigation« anzeigen,افتح حوار الإبحار
Open the document history dialog,Ouvre la boîte de dialogue Historique des documents,Den Dialog »Dokumentenindex« anzeigen,افتح حوار تأريخ المستند
Open the dynamics selection dialog,Ouvrir le sélecteur de dynamique,Den Dynamikauswahldialog öffnen,افتح حوار اختيار الحركيات
Open the error console,Ouvre la console d’erreurs,Öffnet ein extra Fenster für die Fehlerausgabe,افتح مِعراض الأخطاء
Open the font selection dialog,Ouvrir le sélecteur de polices,Den Schriftauswahldialog öffnen,افتح حوار اختيار الخط
Open the fonts dialog,Ouvre le sélecteur de polices,Den Dialog »Schriften« anzeigen,افتح حوار الخطوط
Open the gradient editor,Ouvre l’éditeur de dégradés,Den Dialog »Farbverlaufseditor« anzeigen,افتح محرر التدرجات
Open the gradient selection dialog,Ouvrir le sélecteur de dégradé,Den Farbverlaufswahldialog öffnen,افتح حوار اختيار التدريج
Open the gradients dialog,Ouvre la boîte de dialogue Dégradés,Den Dialog »Farbverläufe« anzeigen,افتح حوار التدرجات
Open the histogram dialog,Ouvre la boîte de dialogue Histogramme,Den Dialog »Histogramm« anzeigen,افتح حوار الرسم البياني
Open the image templates dialog,Ouvre la boîte de dialogue Modèles d’image,Den Vorlagendialog anzeigen,افتح حوار قوالب الصور
Open the images dialog,Ouvre la boîte de dialogue Images,Den Dialog »Bilder« anzeigen,افتح حوار الصور
Open the input devices editor,Ouvre l’éditeur de périphériques d’entrée,Den Dialog »Eingabegeräte« anzeigen,افتح محرر أجهزة الإدخال
Open the keyboard shortcuts editor,Ouvre l’éditeur de raccourcis clavier,Den Editor für die Tastenkombinationen öffnen,افتح محرر اختصارات لوحة المفاتيح
Open the layers dialog,Ouvre la boîte de dialogue Calques,Den Dialog »Ebenen« anzeigen,افتح حوار الطبقات
Open the module manager dialog,Ouvre la boîte de dialogue du gestionnaire de modules,Die Modulverwaltung öffnen,افتح حوار إدارة الوحدات
Open the mypaint brushes dialog,Ouvre la boîte de dialogue Brosses MyPaint,Den Dialog »MyPaint-Pinsel« anzeigen,افتح حوار فُرش ماي پينت
Open the named buffers dialog,Ouvre la boîte de dialogue Presse-papiers,Den Dialog »Ablagen« anzeigen,افتح حوار البراحات المسمّاة
Open the paint dynamics editor,Ouvre l’éditeur de dynamique de brosse,Den Dialog »Editor für Zeichendynamik« anzeigen,افتح محرر حركيات الرسم
Open the palette editor,Ouvre l’éditeur de palette,Den Dialog »Paletteneditor« anzeigen,افتح محرر لوحة الألوان
Open the palette selection dialog,Ouvrir le sélecteur de palette,Den Palettenauswahldialog öffnen,افتح حوار اختيار لوح الألوان
Open the palettes dialog,Ouvre la boîte de dialogue Palettes,Den Dialog »Paletten« anzeigen,افتح حوار ألواح الألوان
Open the paths dialog,Ouvre la boîte de dialogue Chemins,Den Dialog »Pfade« anzeigen,افتح حوار المسارات
Open the pattern selection dialog,Ouvrir le sélecteur de motif,Den Musterauswahldialog öffnen,افتح حوار اختيار النمط
Open the patterns dialog,Ouvre la boîte de dialogue Motifs,Den Dialog »Muster« anzeigen,افتح حوار الأنماط
Open the pointer information dialog,Ouvre la boîte de dialogue Pointeur,Den Dialog »Zeigerinformationen« anzeigen,افتح حوار معلومات المؤشر
Open the preferences dialog,Ouvre la boîte de dialogue Préférences,Den Dialog »Einstellungen« anzeigen,افتح حوار التفضيلات
Open the sample points dialog,Ouvre la boîte de dialogue Points d’échantillonnage,Den Dialog »Prüfpunkte« anzeigen,افتح حوار عينات النقاط
Open the selected entry,Ouvre l’élément sélectionné,Gewählten Eintrag öffnen,افتح المُدخلة المحددة
Open the selection editor,Ouvre l’éditeur de sélection,Den Dialog »Auswahleditor« anzeigen,افتح محرر التحديد
Open the symmetry dialog,Ouvre la boîte de dialogue Peinture en symétrie,Den Dialog »Symmetrie« anzeigen,افتح حوار الرسم المتماثل
Open the tool options dialog,Ouvre la boîte de dialogue des options de l’outil sélectionné,Den Dialog »Werkzeugeinstellungen« anzeigen,افتح حوار خيارات الأداة
Open the undo history dialog,Ouvre la boîte de dialogue Historique d’annulation,Das Journal anzeigen,افتح حوار تأريخ التراجع
Open this pattern as an image,Ouvrir le motif en tant qu’image,Muster als Bild öffnen,افتح النمط كصورة
Open tool presets dialog,Ouvre le préréglage d’outils,Den Dialog »Werkzeug-Voreinstellungen« öffnen,افتح حوار محفوظات الخيارات
Open windows on the same monitor they were open before,Ouvrir les fenêtres sur le même moniteur qu’avant,Fenster am selben Monitor wie zuvor öffnen,افتح النوافذ في نفس الشاشة التي فتحوا فيها من قبل
Opening '%s',Ouverture de « %s »,»%s« wird geöffnet,يفتح '%s'
"Opening '%s' failed:

%s","l’ouverture de « %s » a échoué :

%s","Das Öffnen von »%s« ist fehlgeschlagen:

%s","فشل فتح '%s':

%s"
Opening '%s' failed: %s,L’ouverture de « %s » a échoué : %s,»%s« konnte nicht geöffnet werden: %s,فشل فتح '%s'‏: %s
Opening remote file,Ouverture d’un fichier distant,Entfernte Datei öffnen,افتح ملف بعيد
Operation Tool: Use an arbitrary GEGL operation,Action GEGL : cet outil utilise une action GEGL arbitraire,Operationswerkzeug: Eine beliebige GEGL-Funktion aufrufen,أداة العمليات: استخدم أي عملية GEGL
Orange,Orange,Orange,برتقالي
Other (%s)...,Autre (%s)…,Andere (%s) …,أخرى (%s)...
Other rotation angle...,Autre angle de rotation…,Anderer Drehwinkel …,استخدم زاوية تدوير مخصصة
Other zoom factor...,Autre facteur de zoom…,Anderer Vergrößerungsfaktor …,أخرى...
