(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
Select position of new panel. Esc to cancel.,Choisissez la position du nouveau panneau. Appuyez sur Échap pour annuler.,Position der neuen Leiste auswählen. Esc zum Abbrechen.,حدد موضع الشريط الجديد. أضغط Esc للإلغاء.
Select the workspace from the panel,Choisissez l’espace de travail dans le panneau,Arbeitsfläche aus der Leiste auswählen,تحديد مساحة العمل من الشريط
Select this option to disable automatic screen rotation on hardware equipped with supported accelerometers.,Choisissez cette option pour désactiver la rotation automatique de l’écran sur le matériel équipé d’accéléromètres pris en charge.,"Diese Option auswählen, um die automatische Bildschirmdrehung auf Geräten zu deaktivieren, die mit unterstützten Beschleunigungssensoren ausgestattet sind.",حدد هذا الخيار لتعطيل التدوير التلقائي للشاشة على الأجهزة المزودة بمقاييس تسارع مدعومة.
Select this option to let full-screen applications skip the compositing manager and run at maximum speed. Unselect it if you're experiencing screen-tearing in full screen mode.,Choisissez cette option afin de permettre aux applications de contourner le gestionnaire de composition en plein écran et d’obtenir de meilleures performances. Décochez-la si vous rencontrez un effet de déchirement de l’écran en mode plein écran.,"Diese Option auswählen, damit Vollbildanwendungen die Kompositverwaltung überspringen und bei höchster Geschwindigkeit laufen. Nicht auswählen, wenn im Vollbildmodus Bildrisse vorkommen.",حدد هذا الخيار للسماح لتطبيقات ملء الشاشة بتخطي مدير التركيب وتشغيله بأقصى سرعة. ألغي تحديده إذا كنت تعاني من تمزق الشاشة في وضع ملء الشاشة.
Send to front,Envoyer devant,Nach vorne senden,أرسل للأمام
Separator,Séparateur,Trenner,الفاصل
Sepia,Sépia,Sepia,بني داكن
Session startup animation,Animation au démarrage de Cinnamon,Animation beim Start der Sitzung,حركة بدء تشغيل جلسة العمل
Set at login,Définir lors de la première connexion,Beim Anmelden einstellen,تعيين عند تسجيل الدخول
Set keybinding(s) to clear all notifications.,Définissez les raccourcis clavier pour effacer toutes les notifications.,"Tastenkombination(en) festlegen, um alle Benachrichtigungen anzuzeigen.",قم بتعيين رابط (روابط) المفاتيح لمسح جميع الإشعارات.
Set keybinding(s) to show the calendar.,Définissez les raccourcis clavier pour afficher l’agenda.,"Tastenkombination(en) festlegen, um den Kalender anzuzeigen.",قم بتعيين رابط (روابط) المفاتيح لإظهار التقويم.
Set keybinding(s) to show the network applet menu.,Définissez les raccourcis clavier pour afficher le menu de l’applet des réseaux.,Die Tastenkombination zur Anzeige des Netzwerk-Applet-Menüs festlegen.,قم بتعيين رابط (روابط) المفاتيح لإظهار قائمة بريمج الشبكة.
Set keybinding(s) to show the notification popup menu.,Définissez les raccourcis clavier pour afficher le menu contextuel de notification.,"Tastenkombination(en) festlegen, um das Menü des Benachrichtigungs-Applets anzuzeigen.",قم بتعيين رابط (روابط) المفاتيح لإظهار قائمة الإشعار المنبثقة.
Set keybinding(s) to show the sound applet menu.,Définissez les raccourcis clavier pour afficher le menu de l’applet du son,"Tastenkombination(en) festlegen, um das Menü des Klang-Applets anzuzeigen.",قم بتعيين رابط (روابط) المفاتيح لإظهار قائمة تطبيقات الصوت.
Set the keybinding here to activate an action,Définissez le raccourcis clavier ici pour activer une action,"Die Tastenkombination hier einstellen, um eine Aktion zu aktivieren",عيِّن رابط المفتاح هنا لتنشيط الإجراء
Set your custom format here.,Spécifiez votre format de date ici.,Hier können Sie Ihr eigenes Datumsformat festlegen.,تعيين تنسيقك المخصص هنا.
Set your custom label here.  This field is unavailable unless the switch above is enabled,Définissez votre titre personnalisé ici. Ce champs n'est disponible que si l'option ci-dessus est activée,Eigene Appletbeschriftung hier eingeben. Dieses Feld ist erst nach Aktivierung des obigen Schalters verfügbar.,عين تصنيفك المخصص هنا. هذا الحقل غير متاح ما لم يتم تمكين التحويل أعلاه
Settings,Paramètres,Einstellungen,الإعدادات
Settings API Demo,Démo de l'API des paramètres des applets,Demo der Einstellungs-API,إعدادات واجهة برمجة التطبيقات التجريبية
Settings Applet,Applet des paramètres,Einstellungsanzeige,إعدادات التطبيق المصغر
Settings for %s,Réglages pour %s,Einstellungen für %s,إعدادات %s
Shade and unshade,Réduire à la barre de titre et restaurer la fenêtre à sa taille normale,Ein- und Ausrollen,التظليل و إلغاء التظليل
Short,Court,Kurz,قصير
Shortcut key,Raccourcis clavier,Tastenkürzel,مفتاح الاختصار
Shortcuts,Raccourcis,Tastenkombinationen,الاختصارات
Shorter,Plus court,Kürzer,أقصر
Show,Afficher,Anzeigen,عرض
Show Character Table,Afficher la table des caractères,Zeichentabelle anzeigen,عرض جدول الأحرف
Show Desklets,Afficher les desklets,Desklets anzeigen,أظهر أدوات سطح المكتب
Show Keyboard Layout,Afficher la disposition du clavier,Tastaturbelegung anzeigen,عرض تخطيط لوحة المفاتيح
Show Loop and Shuffle controls,Afficher les boutons Répétition et Mode aléatoire,Schleifen- und Zufallssteuerung anzeigen,عرض عناصر تحكم التكرار الحلقي و الخلط
Show Text,Afficher le texte,Text zeigen,أظهر النص
Show album art,Afficher les pochettes d’album,Albumbild anzeigen,عرض الغلاف الفني للألبوم
Show album art as icon,Afficher les pochettes d'album sous forme d'icône,Albumbild als Symbol anzeigen,اعرض غلاف الألبوم الفني كأيقونة
Show all windows,Afficher toutes les fenêtres,Alle Fenster anzeigen,عرض كل النوافذ
Show all workspaces,Afficher tous les espaces de travail,Alle Arbeitsflächen anzeigen,عرض كل مساحات العمل
Show an alert in the window list when a window from another workspace requires attention,Afficher une alerte dans la liste des fenêtres si la fenêtre d'un autre bureau demande votre attention,"Einen Hinweis in der Fensterliste anzeigen, wenn ein Fenster auf einer anderen Arbeitsfläche Aufmerksamkeit verlangt",عرض تنبيه في قائمة النافذة عندما تتطلب نافذة من مساحة عمل أخرى الانتباه
Show application icons,Afficher les icônes des applications,Anwendungssymbole anzeigen,اعرض أيقونات التطبيق
Show autostart option,Afficher l’option de démarrage automatique,Autostartoption anzeigen,اعرض خيارات بدء التشغيل التلقائي
Show bookmarks and places,Afficher les signets et les emplacements,Lesezeichen und Orte anzeigen,اعرض الإشارات المرجعية والأماكن
Show calendar,Afficher l’agenda,Kalender anzeigen,عرض التقويم
Show calendar events,Afficher les évènements de calendrier,Kalendereinträge anzeigen,أظهر أحداث التقويم
Show category icons,Afficher les icônes de catégorie,Kategoriesymbole anzeigen,عرض أيقونات الفئات
Show delay,Afficher la temporisation,Verzögerung anzeigen,تأخير العرض
Show dependencies section,Afficher la section des dépendances,Abhängigkeiten anzeigen,أظهِر قسم الاعتماديات
Show desktop,Afficher le bureau,Schreibtisch anzeigen,عرض سطح المكتب
Show empty tray,Afficher l'espace de notification vide,Leeres Benachrichtigungsfeld anzeigen,عرض الصينية الفارغة
Show favorites,Afficher les favoris,Favoriten anzeigen,أظهر المفضلة
Show favorites and session buttons,Afficher les boutons de session et de favoris,Favoriten- und Sitzungsknöpfe anzeigen,أظهر أزرار المفضّلات والجلسات
Show icons in menus,Afficher les icônes dans les menus,Symbole in Menüs anzeigen,عرض الأيقونات في القوائم
Show icons on buttons,Afficher les icônes dans les boutons,Symbole auf Knöpfen anzeigen,عرض الأيقونات على الأزرار
Show info,Afficher les informations,Information anzeigen,اعرض المعلومات
Show info #1,Afficher la présentation no 1,Info 1 anzeigen,اعرض المعلومة رقم #1
Show info #2,Afficher la présentation no 2,Info 2 anzeigen,اعرض المعلومة رقم #2
Show info panel,Afficher le panneau d’information,Informationsleiste anzeigen,عرض لوحة المعلومات
Show information on date format syntax,Afficher des indications sur la syntaxe des formats de date.,Angaben zum Datumsformat anzeigen,عرض معلومات عن تركيب تنسيق التاريخ
Show keyboard only when the user activates it,N’afficher le clavier que si l’utilisateur l’active,"Die Tastatur nur anzeigen, wenn der Benutzer sie aktiviert",عرض لوحة المفاتيح فقط عندما يقوم المستخدم بتنشيطها
Show media player controls,Afficher les boutons de contrôle multimédia,Medienwiedergabesteuerung anzeigen,عرض عناصر تحكم مشغل الوسائط
Show menu,Afficher le menu,Menü anzeigen,اظهر القائمة
Show notifications,Afficher les notifications,Benachrichtigungen anzeigen,إظهار الإشعارات
Show notifications on the bottom side of the screen,Afficher les notifications en bas de l'écran,Benachrichtigungen auf der unteren Seite des Bildschirms anzeigen,عرض الإخطارات على الجانب السفلي من الشاشة
Show password,Afficher le mot de passe,Passwort anzeigen,عرض كلمة المرور
Show percentage,Afficher le pourcentage,Prozent anzeigen,اعرض النسبة المئوية
Show percentage and time remaining,Afficher le pourcentage et le temps restant,Prozentsatz und verbleibende Zeit anzeigen,اعرض النسبة المئوية والوقت المتبقي
Show player in tooltip,Montrer le lecteur dans l'infobulle,Medienwiedergabe in Kurzinfo anzeigen,إظهار المشغل في التلميح
Show position of pointer when the Control key is pressed,Afficher la position du pointeur quand la touche Ctrl est appuyée,"Position des Mauszeigers anzeigen, wenn die Strg-Taste gedrückt wird",عرض موضع المؤشر عند الضغط على مفتاح Control
Show power statistics,Afficher les statistiques de l’alimentation,Energiestatistiken anzeigen,عرض إحصائيات الطاقة
Show printer icon,Afficher l’icône de l’imprimante,Druckersymbol anzeigen,أظهِر أيقونة الطابعة
Show recent items,Afficher les éléments récents,Kürzlich verwendete Einträge anzeigen,اعرض العناصر الأخيرة
Show recents,Afficher les récents,Kürzliches anzeigen,اعرض الأخيرة
Show song information on the panel,Afficher les renseignements de la pièce sur le panneau,Liedinformationen in der Leiste anzeigen,اعرض معلومات الأغنية على الشريط
Show the clock on the wallpaper instead of just on the unlock screen,"Afficher l’horloge non seulement sur l’écran de déverrouillage, mais aussi sur le papier peint",Die Uhr auf dem Hintergrundbild anzeigen anstatt nur auf dem Entsperrbildschirm,عرض الساعة على الخلفية بدلاً من على شاشة فك القفل فقط
Show the dependencies section,Afficher la section des dépendances,Abhängigkeiten anzeigen,قم بإظهار قسم الاعتماديات
Show the desktop,Afficher le bureau,Schreibtisch anzeigen,عرض سطح المكتب
Show the keyboard any time something expects input,Afficher le clavier quand une saisie est attendue,"Die Tastatur immer anzeigen, wenn etwas eine Eingabe erwartet",عرض لوحة المفاتيح في أي وقت يتوقع إدخال شيء ما
