English Term,Arabic Term,Description
"Broadband Radio Access Networks","شبكات الوصول إلى الراديو ذو النطاق العريض","تعني الشبكات التي تستخدم الأجهزة المطابقة للمواصفات الفنية المحددة في المعيارين ETIS EN 301 893 و ETSI EN302 567. ويتضمن ذلك الأجهزة التي تستند إلى مجموعة المعايير IEEE 802.11."
"Telecommunications Network(s)","شبكة الاتصالات","منظومة تحتوي على جهاز أو وسيلة اتصال أو أكثر، بهدف نقل أو بث أو تحويل أو استقبال أي من خدمات الاتصالات، وذلك بواسطة أي طاقة كهربائية أو مغناطيسية أو الكتروكيميائية أو إلكتروميكانيكية وغير ذلك من وسائل الاتصال."
"Private Telecommunications Network","شبكة الاتصالات الخاصة","شبكات اتصالات تشغل بصورة حصرية لمصلحة شخص واحد أو مجموعة واحدة من الأشخاص تجمعهم ملكية مشتركة لخدمة حاجاتهم الخاصة"
"Public Satellite Telecommunications Network","شبكة الاتصالات الساتلية العامة","يقصد بها شبكة اتصالات ساتلية يديرها المرخص له لغرض تزويد خدمات الاتصالات الساتلية العامة من قبل المرخص له بموجب أحكام هذه الرخصة والمرسوم بقانون اتحادي رقم (3) لسنة 2003 وتعديلاته."
"Public Telecommunications Network","شبكة الاتصالات العامة","شبكات اتصالات تشغل لتقديم الاتصالات العامة للمشتركين من قبل مرخص له وفقاً لأحكام القانون"
"Telecommunications Satellite Network","شبكة الاتصالات الفضائية","شبكة الاتصالات الفضائية يقصد بها شبكة اتصالات مكونة فقط من: • السواتل، • المحطات الأرضية، • مراكز تشغيل الشبكة • نقاط الربط والتوزيع المساندة، • المرافق الأرضية المساندة، أو عنصر من عناصر الشبكة أو أكثر ولا تشمل شبكة اتصالات مكونة فقط من وظائف البث الأرضي والمرافق الأرضية المساندة."
"Satellite Network","شبكة الأقمار الصناعية","يقصد بها منظومة أقمار صناعية أو جزء منها يتألف من قمر صناعي واحد والمحطات الأرضية التي تصاحبه."
"Fiber optic network","شبكة الألياف الضوئية","تعمل الكابلات الضوئية من مركز الشبكة إلى مقر المتعامل أو مباشرة إلى المبنى لتوفير اتصال إنترنت باستخدام الألياف الضوئية."
"Closed Group Network","شبكة المجموعة المغلقة","شبكة اتصالات فعلية أو افتراضية حيث: 1- يتم تشغيلها حصرياً لصالح مستخدمي تلك الشبكة، والتي يكون المستخدمون إما موظفون أو جزء من جهة واحد أو عدة جهات ذات ملكية مشتركة، حيث يرتبط المستخدمون ببعضهم البعض أو بالجهة أو من أجل المصلحة العامة 2- غير متصلة بأي شبكة مغلقة أخرى أو شبكة اتصالات عامة، بطريقة تسمح بنقل الاتصالات الصوتية في الوقت الفعلي بين مستخدم متصل بالشبكة الأولى أو عليها، ومستخدم متصل ب أو على شبكة اتصالات عامة."
"Radio Local Area Network","شبكة المنطقة المحلية الراديوية","تعني الأجهزة المطابقة للمواصفات الفنية المحددة في المعيارين ( (ETIS EN 301 893 و(ETSI EN 302 567). ويتضمن ذلك الأجهزة التي تستند إلى مجموعة المعايير ( IEEE 802.11) ."
"VoIP Network","شبكة بروتوكول نقل الصوت بواسطة الإنترنت (VoIP)","شبكة اتصالات عامة يتم من خلالها توفير خدمات بروتوكول نقل الصوت بواسطة الإنترنت (VoIP)."
"Additional Service Purchase","شراء خدمة إضافية","أي عملية شراء لخدمة إضافية يقوم بها المستهلك، إضافة على خدمات الاتصالات المتعاقد عليه ، حيث يتم تحصيل سعر الشراء من قبل المرخص له من خلال فاتورة مدفوعة مسبقاً أو عن طريق خصم من رصيد الائتمان المدفوع مسبقاً للمشترك."
"SIM Cards","شرائح الهاتف المتحرك","يقصد بها الشريحة الإلكترونية الذكية لوحدة تعريف المشترك وتشمل على سبيل المثال لا الحصر: رقم الهاتف المتحرك للمشترك ومعلومات ترميز ذوية الشبكة ورقم التعريف الشخصي وبياوات المستخدم مثل جهات االتصال وأرقام الهواتف."
"Mobile SIM Card","شريحة الهاتف المتحرك (السيم) (SIM Card)","يقصد بها الشريحة الذكية لوحدة تعريف المشترك وتشمل على سبيل المثال لا الحصر: رقم الهاتف المتحرك للمشترك ومعلومات ترميز هوية الشبكة ورقم التعريف الشخصي وبيانات المستخدم مثل جهات الاتصال وأرقام الهواتف."
".aeDA logo","شعار .aeDA","تعني شعار إدارة أسماء نطاق الإنترنت."
"Consumer Complaint","شكوى المستهلك","أیة مراسلات أو اتصالات مسجلة عن طريق أیة وسیلة ممكنة في أي مكان معتمد من قبل المرخص له لهذه الأغراض، یقوم المشترك بتقدیمھا ویعبرّ فیھا عن عدم رضاه أو تظلمه بشأن تعامل المرخص له مع حسابه أو بشأن تقدیم المرخص له لخدمة الاتصالات العامة لذلك المشترك، أو من مستھلك یعبرّ عن عدم رضاه أو تظلمه بشأن موضوع یقع ضمن النطاق المباشر لأعمال المرخص له بحیث یكون للمستهلك بعض من المصلحة المشروعة في ذلك؛"
"Type Approval Certificate","شهادة اعتماد النوعية","شهادة اعتماد نوعية او تسجيل الأجهزة صادرة عن الهيئة لأجهزة الاتصالات التي تستخدم في شبكة الاتصالات أو في تقديم خدمة الاتصالات."
